Model,MSE Mean,MSE Std,MAE Mean,R2 Mean
Linear-Beta-1,0.43194266184518587,0.3108959787309495,0.48049743543051376,-4.876672195137369
Sigmoid-Beta-0.1,1.0190357514788562,0.4474889970863019,0.8790211024299047,-9.389725651575425
Sigmoid-Beta-0.5,0.7111636650808791,0.299712664563591,0.7481074469373187,-6.4428648033628635
Sigmoid-Beta-1.0,0.5506324553443691,0.18827222386667372,0.663108767045703,-4.58923589050685
Sigmoid-Beta-2.0,0.4980125319032962,0.13656183119156518,0.6364747469545724,-3.8250194842247778
Sigmoid-Beta-5.0,0.45461792648394733,0.11004933354930922,0.6065710461593437,-3.3975580620925334
Sigmoid-Beta-10.0,0.3973573009752098,0.15097531606367293,0.5274784991727738,-3.047804481255394
Tanh-Beta-0.1,0.4244042570764817,0.06542896278536078,0.5924353386917534,-2.7945188694098095
Tanh-Beta-0.5,0.1348052629332687,0.07660789161516891,0.32664158973577,-0.15228574214827864
Tanh-Beta-1.0,0.039493727525043,0.035168055475643244,0.1560100358759874,0.675470194426132
Tanh-Beta-2.0,0.005237255568721034,0.00610595766960482,0.046207582358405073,0.9693609908458185
Tanh-Beta-5.0,0.001086703179035481,0.0012130783981315412,0.02112015924271694,0.9955500889806261
Tanh-Beta-10.0,0.0010913791445128725,0.0012131132889789435,0.02139472135106172,0.9954775678841911
